submission_id,QUD,RT,age,comments,education,endTime,experiment_id,gender,languages,option1,option2,question,response,startDate,startTime,timeSpent,trial_name,trial_number
373,,4863,19,,Graduated High School,1573645998533,8,female,german,Mountains,Beach,"If you have to choose between the following two options, which one do you prefer?",Beach,Wed Nov 13 2019 12:52:39 GMT+0100 (CET),1573645959482,0.65085,forced_choice,1
373,,4809,19,,Graduated High School,1573645998533,8,female,german,Metal,Jazz,"If you have to choose between the following two options, which one do you prefer?",Jazz,Wed Nov 13 2019 12:52:39 GMT+0100 (CET),1573645959482,0.65085,forced_choice,2
373,,2912,19,,Graduated High School,1573645998533,8,female,german,Biology,Logic,"If you have to choose between the following two options, which one do you prefer?",Logic,Wed Nov 13 2019 12:52:39 GMT+0100 (CET),1573645959482,0.65085,forced_choice,3
372,,3658,19,,Graduated High School,1573645530204,8,male,German,Metal,Jazz,"If you have to choose between the following two options, which one do you prefer?",Metal,Wed Nov 13 2019 12:44:53 GMT+0100 (Mitteleuropäische Normalzeit),1573645493680,0.6087333333333333,forced_choice,1
372,,1950,19,,Graduated High School,1573645530204,8,male,German,Mountains,Beach,"If you have to choose between the following two options, which one do you prefer?",Beach,Wed Nov 13 2019 12:44:53 GMT+0100 (Mitteleuropäische Normalzeit),1573645493680,0.6087333333333333,forced_choice,2
372,,2404,19,,Graduated High School,1573645530204,8,male,German,Biology,Logic,"If you have to choose between the following two options, which one do you prefer?",Logic,Wed Nov 13 2019 12:44:53 GMT+0100 (Mitteleuropäische Normalzeit),1573645493680,0.6087333333333333,forced_choice,3
371,,4507,19,,Graduated High School,1573641746366,8,female,German,Mountains,Beach,"If you have to choose between the following two options, which one do you prefer?",Beach,Wed Nov 13 2019 11:38:47 GMT+0100 (Mitteleuropäische Normalzeit),1573641527970,3.6399333333333335,forced_choice,1
371,,2618,19,,Graduated High School,1573641746366,8,female,German,Metal,Jazz,"If you have to choose between the following two options, which one do you prefer?",Jazz,Wed Nov 13 2019 11:38:47 GMT+0100 (Mitteleuropäische Normalzeit),1573641527970,3.6399333333333335,forced_choice,2
371,,4051,19,,Graduated High School,1573641746366,8,female,German,Biology,Logic,"If you have to choose between the following two options, which one do you prefer?",Logic,Wed Nov 13 2019 11:38:47 GMT+0100 (Mitteleuropäische Normalzeit),1573641527970,3.6399333333333335,forced_choice,3
370,,5721,20,,Graduated High School,1573639548735,8,female,German,Metal,Jazz,"If you have to choose between the following two options, which one do you prefer?",Jazz,Wed Nov 13 2019 11:04:57 GMT+0100 (Mitteleuropäische Normalzeit),1573639497009,0.8621,forced_choice,1
370,,3184,20,,Graduated High School,1573639548735,8,female,German,Biology,Logic,"If you have to choose between the following two options, which one do you prefer?",Biology,Wed Nov 13 2019 11:04:57 GMT+0100 (Mitteleuropäische Normalzeit),1573639497009,0.8621,forced_choice,2
370,,1914,20,,Graduated High School,1573639548735,8,female,German,Mountains,Beach,"If you have to choose between the following two options, which one do you prefer?",Beach,Wed Nov 13 2019 11:04:57 GMT+0100 (Mitteleuropäische Normalzeit),1573639497009,0.8621,forced_choice,3
369,,6847,23,,Higher Degree,1573639135296,8,male,German,Biology,Logic,"If you have to choose between the following two options, which one do you prefer?",Logic,Wed Nov 13 2019 10:57:55 GMT+0100 (Central European Standard Time),1573639075556,0.9956666666666667,forced_choice,1
369,,6051,23,,Higher Degree,1573639135296,8,male,German,Mountains,Beach,"If you have to choose between the following two options, which one do you prefer?",Mountains,Wed Nov 13 2019 10:57:55 GMT+0100 (Central European Standard Time),1573639075556,0.9956666666666667,forced_choice,2
369,,6265,23,,Higher Degree,1573639135296,8,male,German,Metal,Jazz,"If you have to choose between the following two options, which one do you prefer?",Metal,Wed Nov 13 2019 10:57:55 GMT+0100 (Central European Standard Time),1573639075556,0.9956666666666667,forced_choice,3
368,,5218,26,,Graduated College,1573638860559,8,female,Korean,Biology,Logic,"If you have to choose between the following two options, which one do you prefer?",Biology,Wed Nov 13 2019 10:53:53 GMT+0100 (CET),1573638833405,0.4525666666666667,forced_choice,1
368,,1932,26,,Graduated College,1573638860559,8,female,Korean,Metal,Jazz,"If you have to choose between the following two options, which one do you prefer?",Jazz,Wed Nov 13 2019 10:53:53 GMT+0100 (CET),1573638833405,0.4525666666666667,forced_choice,2
368,,2028,26,,Graduated College,1573638860559,8,female,Korean,Mountains,Beach,"If you have to choose between the following two options, which one do you prefer?",Beach,Wed Nov 13 2019 10:53:53 GMT+0100 (CET),1573638833405,0.4525666666666667,forced_choice,3
367,,5497,24,,Graduated College,1573634275933,8,male,"English, German ",Biology,Logic,"If you have to choose between the following two options, which one do you prefer?",Biology,Wed Nov 13 2019 09:37:03 GMT+0100 (Central European Standard Time),1573634223012,0.8820166666666667,forced_choice,1
367,,4457,24,,Graduated College,1573634275933,8,male,"English, German ",Mountains,Beach,"If you have to choose between the following two options, which one do you prefer?",Beach,Wed Nov 13 2019 09:37:03 GMT+0100 (Central European Standard Time),1573634223012,0.8820166666666667,forced_choice,2
367,,1740,24,,Graduated College,1573634275933,8,male,"English, German ",Metal,Jazz,"If you have to choose between the following two options, which one do you prefer?",Jazz,Wed Nov 13 2019 09:37:03 GMT+0100 (Central European Standard Time),1573634223012,0.8820166666666667,forced_choice,3
366,,7036,22,,Higher Degree,1573636072050,8,female,Russian,Biology,Logic,"If you have to choose between the following two options, which one do you prefer?",Biology,"Wed Nov 13 2019 10:06:18 GMT+0100 (Центральная Европа, стандартное время)",1573635978817,1.5538833333333333,forced_choice,1
366,,4129,22,,Higher Degree,1573636072050,8,female,Russian,Metal,Jazz,"If you have to choose between the following two options, which one do you prefer?",Jazz,"Wed Nov 13 2019 10:06:18 GMT+0100 (Центральная Европа, стандартное время)",1573635978817,1.5538833333333333,forced_choice,2
366,,4825,22,,Higher Degree,1573636072050,8,female,Russian,Mountains,Beach,"If you have to choose between the following two options, which one do you prefer?",Beach,"Wed Nov 13 2019 10:06:18 GMT+0100 (Центральная Европа, стандартное время)",1573635978817,1.5538833333333333,forced_choice,3
365,,4954,22,,Graduated High School,1573635990479,8,female,German,Mountains,Beach,"If you have to choose between the following two options, which one do you prefer?",Beach,Wed Nov 13 2019 10:06:00 GMT+0100 (Mitteleuropäische Normalzeit),1573635960894,0.4930833333333333,forced_choice,1
365,,1799,22,,Graduated High School,1573635990479,8,female,German,Biology,Logic,"If you have to choose between the following two options, which one do you prefer?",Biology,Wed Nov 13 2019 10:06:00 GMT+0100 (Mitteleuropäische Normalzeit),1573635960894,0.4930833333333333,forced_choice,2
365,,1942,22,,Graduated High School,1573635990479,8,female,German,Metal,Jazz,"If you have to choose between the following two options, which one do you prefer?",Metal,Wed Nov 13 2019 10:06:00 GMT+0100 (Mitteleuropäische Normalzeit),1573635960894,0.4930833333333333,forced_choice,3
364,,98099,21,,Graduated High School,1573631001488,8,male,German,Mountains,Beach,"If you have to choose between the following two options, which one do you prefer?",Mountains,Wed Nov 13 2019 08:38:25 GMT+0100 (CET),1573630705904,4.9264,forced_choice,1
364,,24119,21,,Graduated High School,1573631001488,8,male,German,Biology,Logic,"If you have to choose between the following two options, which one do you prefer?",Logic,Wed Nov 13 2019 08:38:25 GMT+0100 (CET),1573630705904,4.9264,forced_choice,2
364,,2866,21,,Graduated High School,1573631001488,8,male,German,Metal,Jazz,"If you have to choose between the following two options, which one do you prefer?",Jazz,Wed Nov 13 2019 08:38:25 GMT+0100 (CET),1573630705904,4.9264,forced_choice,3
363,,17275,20,,Graduated College,1573629800504,8,female,German,Metal,Jazz,"If you have to choose between the following two options, which one do you prefer?",Metal,Wed Nov 13 2019 08:22:03 GMT+0100 (Mitteleuropäische Normalzeit),1573629723160,1.2890666666666666,forced_choice,1
363,,21772,20,,Graduated College,1573629800504,8,female,German,Mountains,Beach,"If you have to choose between the following two options, which one do you prefer?",Mountains,Wed Nov 13 2019 08:22:03 GMT+0100 (Mitteleuropäische Normalzeit),1573629723160,1.2890666666666666,forced_choice,2
363,,10280,20,,Graduated College,1573629800504,8,female,German,Biology,Logic,"If you have to choose between the following two options, which one do you prefer?",Logic,Wed Nov 13 2019 08:22:03 GMT+0100 (Mitteleuropäische Normalzeit),1573629723160,1.2890666666666666,forced_choice,3
362,,11645,21,,Graduated High School,1573624154572,8,female,German,Mountains,Beach,"If you have to choose between the following two options, which one do you prefer?",Mountains,Wed Nov 13 2019 06:48:18 GMT+0100 (Mitteleuropäische Zeit),1573624098579,0.9332166666666667,forced_choice,1
362,,5574,21,,Graduated High School,1573624154572,8,female,German,Metal,Jazz,"If you have to choose between the following two options, which one do you prefer?",Jazz,Wed Nov 13 2019 06:48:18 GMT+0100 (Mitteleuropäische Zeit),1573624098579,0.9332166666666667,forced_choice,2
362,,3656,21,,Graduated High School,1573624154572,8,female,German,Biology,Logic,"If you have to choose between the following two options, which one do you prefer?",Biology,Wed Nov 13 2019 06:48:18 GMT+0100 (Mitteleuropäische Zeit),1573624098579,0.9332166666666667,forced_choice,3
361,,4661,20,,Graduated High School,1573601814205,8,other,German,Mountains,Beach,"If you have to choose between the following two options, which one do you prefer?",Beach,Wed Nov 13 2019 00:35:56 GMT+0100 (Mitteleuropäische Normalzeit),1573601756868,0.9556166666666667,forced_choice,1
361,,3640,20,,Graduated High School,1573601814205,8,other,German,Metal,Jazz,"If you have to choose between the following two options, which one do you prefer?",Jazz,Wed Nov 13 2019 00:35:56 GMT+0100 (Mitteleuropäische Normalzeit),1573601756868,0.9556166666666667,forced_choice,2
361,,9071,20,,Graduated High School,1573601814205,8,other,German,Biology,Logic,"If you have to choose between the following two options, which one do you prefer?",Biology,Wed Nov 13 2019 00:35:56 GMT+0100 (Mitteleuropäische Normalzeit),1573601756868,0.9556166666666667,forced_choice,3
360,,5807,23,,Graduated High School,1573601012298,8,,Arabic,Mountains,Beach,"If you have to choose between the following two options, which one do you prefer?",Beach,Wed Nov 13 2019 00:22:25 GMT+0100 (CET),1573600945206,1.1182,forced_choice,1
360,,5374,23,,Graduated High School,1573601012298,8,,Arabic,Biology,Logic,"If you have to choose between the following two options, which one do you prefer?",Biology,Wed Nov 13 2019 00:22:25 GMT+0100 (CET),1573600945206,1.1182,forced_choice,2
360,,6572,23,,Graduated High School,1573601012298,8,,Arabic,Metal,Jazz,"If you have to choose between the following two options, which one do you prefer?",Jazz,Wed Nov 13 2019 00:22:25 GMT+0100 (CET),1573600945206,1.1182,forced_choice,3
359,,6656,29,,,1573598071619,8,female,german,Biology,Logic,"If you have to choose between the following two options, which one do you prefer?",Logic,Tue Nov 12 2019 23:33:25 GMT+0100 (Mitteleuropäische Normalzeit),1573598005669,1.0991666666666666,forced_choice,1
359,,4503,29,,,1573598071619,8,female,german,Mountains,Beach,"If you have to choose between the following two options, which one do you prefer?",Beach,Tue Nov 12 2019 23:33:25 GMT+0100 (Mitteleuropäische Normalzeit),1573598005669,1.0991666666666666,forced_choice,2
359,,5520,29,,,1573598071619,8,female,german,Metal,Jazz,"If you have to choose between the following two options, which one do you prefer?",Jazz,Tue Nov 12 2019 23:33:25 GMT+0100 (Mitteleuropäische Normalzeit),1573598005669,1.0991666666666666,forced_choice,3
358,,8921,22,,Graduated High School,1573597881191,8,male,German,Metal,Jazz,"If you have to choose between the following two options, which one do you prefer?",Jazz,Tue Nov 12 2019 23:30:24 GMT+0100 (Mitteleuropäische Zeit),1573597824466,0.9454166666666667,forced_choice,1
358,,7039,22,,Graduated High School,1573597881191,8,male,German,Biology,Logic,"If you have to choose between the following two options, which one do you prefer?",Biology,Tue Nov 12 2019 23:30:24 GMT+0100 (Mitteleuropäische Zeit),1573597824466,0.9454166666666667,forced_choice,2
358,,8904,22,,Graduated High School,1573597881191,8,male,German,Mountains,Beach,"If you have to choose between the following two options, which one do you prefer?",Beach,Tue Nov 12 2019 23:30:24 GMT+0100 (Mitteleuropäische Zeit),1573597824466,0.9454166666666667,forced_choice,3
357,,13908,22,,Graduated High School,1573597839080,8,male,german,Biology,Logic,"If you have to choose between the following two options, which one do you prefer?",Biology,Tue Nov 12 2019 23:29:32 GMT+0100 (Mitteleuropäische Normalzeit),1573597773002,1.1013,forced_choice,1
357,,8480,22,,Graduated High School,1573597839080,8,male,german,Metal,Jazz,"If you have to choose between the following two options, which one do you prefer?",Jazz,Tue Nov 12 2019 23:29:32 GMT+0100 (Mitteleuropäische Normalzeit),1573597773002,1.1013,forced_choice,2
357,,7865,22,,Graduated High School,1573597839080,8,male,german,Mountains,Beach,"If you have to choose between the following two options, which one do you prefer?",Mountains,Tue Nov 12 2019 23:29:32 GMT+0100 (Mitteleuropäische Normalzeit),1573597773002,1.1013,forced_choice,3
356,,5923,22,,,1573597796327,8,male,German,Metal,Jazz,"If you have to choose between the following two options, which one do you prefer?",Metal,Tue Nov 12 2019 23:28:41 GMT+0100 (GMT+01:00),1573597721584,1.2457166666666666,forced_choice,1
356,,4512,22,,,1573597796327,8,male,German,Mountains,Beach,"If you have to choose between the following two options, which one do you prefer?",Mountains,Tue Nov 12 2019 23:28:41 GMT+0100 (GMT+01:00),1573597721584,1.2457166666666666,forced_choice,2
356,,3361,22,,,1573597796327,8,male,German,Biology,Logic,"If you have to choose between the following two options, which one do you prefer?",Logic,Tue Nov 12 2019 23:28:41 GMT+0100 (GMT+01:00),1573597721584,1.2457166666666666,forced_choice,3
355,,4704,20,,Graduated High School,1573597663071,8,female,German,Mountains,Beach,"If you have to choose between the following two options, which one do you prefer?",Beach,Tue Nov 12 2019 23:27:00 GMT+0100 (Central European Standard Time),1573597620523,0.7091333333333333,forced_choice,1
355,,6079,20,,Graduated High School,1573597663071,8,female,German,Metal,Jazz,"If you have to choose between the following two options, which one do you prefer?",Metal,Tue Nov 12 2019 23:27:00 GMT+0100 (Central European Standard Time),1573597620523,0.7091333333333333,forced_choice,2
355,,3216,20,,Graduated High School,1573597663071,8,female,German,Biology,Logic,"If you have to choose between the following two options, which one do you prefer?",Logic,Tue Nov 12 2019 23:27:00 GMT+0100 (Central European Standard Time),1573597620523,0.7091333333333333,forced_choice,3
354,,5542,21,,Graduated High School,1573595051586,8,female,german,Biology,Logic,"If you have to choose between the following two options, which one do you prefer?",Biology,Tue Nov 12 2019 22:43:26 GMT+0100 (Mitteleuropäische Normalzeit),1573595006670,0.7486,forced_choice,1
354,,1832,21,,Graduated High School,1573595051586,8,female,german,Metal,Jazz,"If you have to choose between the following two options, which one do you prefer?",Metal,Tue Nov 12 2019 22:43:26 GMT+0100 (Mitteleuropäische Normalzeit),1573595006670,0.7486,forced_choice,2
354,,3657,21,,Graduated High School,1573595051586,8,female,german,Mountains,Beach,"If you have to choose between the following two options, which one do you prefer?",Mountains,Tue Nov 12 2019 22:43:26 GMT+0100 (Mitteleuropäische Normalzeit),1573595006670,0.7486,forced_choice,3
353,,6567,20,,Graduated High School,1573593035963,8,female,German,Biology,Logic,"If you have to choose between the following two options, which one do you prefer?",Logic,Tue Nov 12 2019 22:09:40 GMT+0100 (Mitteleuropäische Normalzeit),1573592980513,0.9241666666666667,forced_choice,1
353,,4678,20,,Graduated High School,1573593035963,8,female,German,Metal,Jazz,"If you have to choose between the following two options, which one do you prefer?",Metal,Tue Nov 12 2019 22:09:40 GMT+0100 (Mitteleuropäische Normalzeit),1573592980513,0.9241666666666667,forced_choice,2
353,,4193,20,,Graduated High School,1573593035963,8,female,German,Mountains,Beach,"If you have to choose between the following two options, which one do you prefer?",Mountains,Tue Nov 12 2019 22:09:40 GMT+0100 (Mitteleuropäische Normalzeit),1573592980513,0.9241666666666667,forced_choice,3
352,,6977,21,,Graduated High School,1573592017121,8,female,German,Metal,Jazz,"If you have to choose between the following two options, which one do you prefer?",Jazz,Tue Nov 12 2019 21:51:48 GMT+0100 (CET),1573591908039,1.8180333333333334,forced_choice,1
352,,13138,21,,Graduated High School,1573592017121,8,female,German,Mountains,Beach,"If you have to choose between the following two options, which one do you prefer?",Mountains,Tue Nov 12 2019 21:51:48 GMT+0100 (CET),1573591908039,1.8180333333333334,forced_choice,2
352,,2887,21,,Graduated High School,1573592017121,8,female,German,Biology,Logic,"If you have to choose between the following two options, which one do you prefer?",Biology,Tue Nov 12 2019 21:51:48 GMT+0100 (CET),1573591908039,1.8180333333333334,forced_choice,3
351,,7246,20,,Graduated High School,1573590648403,8,female,german,Metal,Jazz,"If you have to choose between the following two options, which one do you prefer?",Jazz,Tue Nov 12 2019 21:26:43 GMT+0100 (Mitteleuropäische Normalzeit),1573590403215,4.0864666666666665,forced_choice,1
351,,4333,20,,Graduated High School,1573590648403,8,female,german,Mountains,Beach,"If you have to choose between the following two options, which one do you prefer?",Beach,Tue Nov 12 2019 21:26:43 GMT+0100 (Mitteleuropäische Normalzeit),1573590403215,4.0864666666666665,forced_choice,2
351,,8437,20,,Graduated High School,1573590648403,8,female,german,Biology,Logic,"If you have to choose between the following two options, which one do you prefer?",Biology,Tue Nov 12 2019 21:26:43 GMT+0100 (Mitteleuropäische Normalzeit),1573590403215,4.0864666666666665,forced_choice,3
350,,10931,21,,Graduated High School,1573590513073,8,male,German,Mountains,Beach,"If you have to choose between the following two options, which one do you prefer?",Mountains,Tue Nov 12 2019 21:27:19 GMT+0100 (Central European Standard Time),1573590439195,1.2313,forced_choice,1
350,,4011,21,,Graduated High School,1573590513073,8,male,German,Biology,Logic,"If you have to choose between the following two options, which one do you prefer?",Biology,Tue Nov 12 2019 21:27:19 GMT+0100 (Central European Standard Time),1573590439195,1.2313,forced_choice,2
350,,3870,21,,Graduated High School,1573590513073,8,male,German,Metal,Jazz,"If you have to choose between the following two options, which one do you prefer?",Jazz,Tue Nov 12 2019 21:27:19 GMT+0100 (Central European Standard Time),1573590439195,1.2313,forced_choice,3
349,,4037,20,,Graduated High School,1573590117976,8,male,German,Metal,Jazz,"If you have to choose between the following two options, which one do you prefer?",Metal,Tue Nov 12 2019 21:20:45 GMT+0100 (Central European Standard Time),1573590045913,1.20105,forced_choice,1
349,,1980,20,,Graduated High School,1573590117976,8,male,German,Mountains,Beach,"If you have to choose between the following two options, which one do you prefer?",Mountains,Tue Nov 12 2019 21:20:45 GMT+0100 (Central European Standard Time),1573590045913,1.20105,forced_choice,2
349,,2228,20,,Graduated High School,1573590117976,8,male,German,Biology,Logic,"If you have to choose between the following two options, which one do you prefer?",Biology,Tue Nov 12 2019 21:20:45 GMT+0100 (Central European Standard Time),1573590045913,1.20105,forced_choice,3
348,,8376,35,,Graduated College,1573587808307,8,female,Arabic,Biology,Logic,"If you have to choose between the following two options, which one do you prefer?",Biology,Tue Nov 12 2019 20:42:17 GMT+0100 (Central European Standard Time),1573587737343,1.1827333333333334,forced_choice,1
348,,4014,35,,Graduated College,1573587808307,8,female,Arabic,Mountains,Beach,"If you have to choose between the following two options, which one do you prefer?",Mountains,Tue Nov 12 2019 20:42:17 GMT+0100 (Central European Standard Time),1573587737343,1.1827333333333334,forced_choice,2
348,,3596,35,,Graduated College,1573587808307,8,female,Arabic,Metal,Jazz,"If you have to choose between the following two options, which one do you prefer?",Jazz,Tue Nov 12 2019 20:42:17 GMT+0100 (Central European Standard Time),1573587737343,1.1827333333333334,forced_choice,3
347,,6416,21,,Graduated High School,1573587248947,8,male,Italian,Mountains,Beach,"If you have to choose between the following two options, which one do you prefer?",Beach,Tue Nov 12 2019 20:33:12 GMT+0100 (Central European Standard Time),1573587192827,0.9353333333333333,forced_choice,1
347,,3538,21,,Graduated High School,1573587248947,8,male,Italian,Biology,Logic,"If you have to choose between the following two options, which one do you prefer?",Logic,Tue Nov 12 2019 20:33:12 GMT+0100 (Central European Standard Time),1573587192827,0.9353333333333333,forced_choice,2
347,,5252,21,,Graduated High School,1573587248947,8,male,Italian,Metal,Jazz,"If you have to choose between the following two options, which one do you prefer?",Jazz,Tue Nov 12 2019 20:33:12 GMT+0100 (Central European Standard Time),1573587192827,0.9353333333333333,forced_choice,3
346,,4222,21,,Graduated High School,1573586558542,8,male,German,Metal,Jazz,"If you have to choose between the following two options, which one do you prefer?",Metal,Tue Nov 12 2019 20:21:42 GMT+0100 (Central European Standard Time),1573586502924,0.9269666666666667,forced_choice,1
346,,10685,21,,Graduated High School,1573586558542,8,male,German,Biology,Logic,"If you have to choose between the following two options, which one do you prefer?",Biology,Tue Nov 12 2019 20:21:42 GMT+0100 (Central European Standard Time),1573586502924,0.9269666666666667,forced_choice,2
346,,10979,21,,Graduated High School,1573586558542,8,male,German,Mountains,Beach,"If you have to choose between the following two options, which one do you prefer?",Mountains,Tue Nov 12 2019 20:21:42 GMT+0100 (Central European Standard Time),1573586502924,0.9269666666666667,forced_choice,3
345,,5905,23,Have I won a prize? I've never won a prize :/,Graduated High School,1573586145624,8,male,German,Metal,Jazz,"If you have to choose between the following two options, which one do you prefer?",Jazz,Tue Nov 12 2019 20:13:42 GMT+0100 (GMT+01:00),1573586022543,2.05135,forced_choice,1
345,,2728,23,Have I won a prize? I've never won a prize :/,Graduated High School,1573586145624,8,male,German,Biology,Logic,"If you have to choose between the following two options, which one do you prefer?",Logic,Tue Nov 12 2019 20:13:42 GMT+0100 (GMT+01:00),1573586022543,2.05135,forced_choice,2
345,,2152,23,Have I won a prize? I've never won a prize :/,Graduated High School,1573586145624,8,male,German,Mountains,Beach,"If you have to choose between the following two options, which one do you prefer?",Mountains,Tue Nov 12 2019 20:13:42 GMT+0100 (GMT+01:00),1573586022543,2.05135,forced_choice,3
344,,9727,21,,,1573584445559,8,male,,Mountains,Beach,"If you have to choose between the following two options, which one do you prefer?",Mountains,Tue Nov 12 2019 19:46:11 GMT+0100 (Mitteleuropäische Normalzeit),1573584371953,1.2267666666666666,forced_choice,1
344,,2991,21,,,1573584445559,8,male,,Metal,Jazz,"If you have to choose between the following two options, which one do you prefer?",Jazz,Tue Nov 12 2019 19:46:11 GMT+0100 (Mitteleuropäische Normalzeit),1573584371953,1.2267666666666666,forced_choice,2
344,,17919,21,,,1573584445559,8,male,,Biology,Logic,"If you have to choose between the following two options, which one do you prefer?",Logic,Tue Nov 12 2019 19:46:11 GMT+0100 (Mitteleuropäische Normalzeit),1573584371953,1.2267666666666666,forced_choice,3
343,,4285,19,,Graduated High School,1573584191916,8,female,german,Metal,Jazz,"If you have to choose between the following two options, which one do you prefer?",Jazz,Tue Nov 12 2019 19:42:14 GMT+0100 (Mitteleuropäische Normalzeit),1573584134514,0.9567,forced_choice,1
343,,9512,19,,Graduated High School,1573584191916,8,female,german,Biology,Logic,"If you have to choose between the following two options, which one do you prefer?",Logic,Tue Nov 12 2019 19:42:14 GMT+0100 (Mitteleuropäische Normalzeit),1573584134514,0.9567,forced_choice,2
343,,4259,19,,Graduated High School,1573584191916,8,female,german,Mountains,Beach,"If you have to choose between the following two options, which one do you prefer?",Mountains,Tue Nov 12 2019 19:42:14 GMT+0100 (Mitteleuropäische Normalzeit),1573584134514,0.9567,forced_choice,3
342,,7184,31,,Graduated High School,1573582561350,8,female,German,Mountains,Beach,"If you have to choose between the following two options, which one do you prefer?",Beach,Tue Nov 12 2019 19:14:39 GMT+0100 (Mitteleuropäische Normalzeit),1573582479826,1.3587333333333333,forced_choice,1
342,,6253,31,,Graduated High School,1573582561350,8,female,German,Metal,Jazz,"If you have to choose between the following two options, which one do you prefer?",Metal,Tue Nov 12 2019 19:14:39 GMT+0100 (Mitteleuropäische Normalzeit),1573582479826,1.3587333333333333,forced_choice,2
